"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","DE_retailPrice","DE_dateFirstAvailable","DE_dateLastAvailable","height","width","depth","weight"
7325,"620",3,"Blue Building Plate",2010,"Bricks and More","Basic",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/620-3",3.9,9,"Shrink-wrapped","Retail",4,"https://images.brickset.com/sets/small/620-3.jpg","https://images.brickset.com/sets/images/620-3.jpg",4.99,"2009-12-30T00:00:00Z","2014-11-30T00:00:00Z",7.49,"2009-12-30T00:00:00Z","2014-11-21T00:00:00Z",7.99,"2010-09-24T00:00:00Z","2014-11-30T00:00:00Z",NA,NA,NA,25.5,25.5,0.36,0.11
8497,"2010",2,"Happy Holidays - The Christmas Game",2010,"Miscellaneous","Miscellaneous","Employee gift","Normal",TRUE,139,NA,"https://brickset.com/sets/2010-2",0,1,"Box","Not sold",NA,"https://images.brickset.com/sets/small/2010-2.jpg","https://images.brickset.com/sets/images/2010-2.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7639,"2824",1,"LEGO City Advent Calendar",2010,"City","Modern day","Seasonal","Normal",TRUE,271,6,"https://brickset.com/sets/2824-1",3.6,8,"Box","Retail - limited",5,"https://images.brickset.com/sets/small/2824-1.jpg","https://images.brickset.com/sets/images/2824-1.jpg",34.99,"2010-09-05T00:00:00Z","2010-11-18T00:00:00Z",24.99,"2010-09-05T00:00:00Z","2010-12-03T00:00:00Z",39.99,"2010-09-24T00:00:00Z","2011-05-22T00:00:00Z",NA,NA,NA,26.19,38.2,7.06,0.43
7261,"3177",1,"Small Car",2010,"City","Modern day","Traffic","Normal",TRUE,43,1,"https://brickset.com/sets/3177-1",4,93,"Box","Retail",5,"https://images.brickset.com/sets/small/3177-1.jpg","https://images.brickset.com/sets/images/3177-1.jpg",4.99,"2009-12-30T00:00:00Z","2012-11-17T00:00:00Z",3.99,"2009-12-30T00:00:00Z","2012-11-23T00:00:00Z",6.99,"2010-09-24T00:00:00Z","2012-11-17T00:00:00Z",NA,NA,NA,9.09,12.19,5.84,0.06
7262,"3178",1,"Seaplane",2010,"City","Modern day","General","Normal",TRUE,102,1,"https://brickset.com/sets/3178-1",3.9,25,"Box","Retail",5,"https://images.brickset.com/sets/small/3178-1.jpg","https://images.brickset.com/sets/images/3178-1.jpg",10.99,"2009-12-30T00:00:00Z","2012-11-23T00:00:00Z",8.49,"2009-12-30T00:00:00Z","2012-12-20T00:00:00Z",14.99,"2010-09-24T00:00:00Z","2012-11-23T00:00:00Z",NA,NA,NA,14.1,19.1,6.1,0.18
7263,"3179",1,"Repair Truck",2010,"City","Modern day","Traffic","Normal",TRUE,118,1,"https://brickset.com/sets/3179-1",3.9,26,"Box","Retail",5,"https://images.brickset.com/sets/small/3179-1.jpg","https://images.brickset.com/sets/images/3179-1.jpg",12.99,"2009-12-30T00:00:00Z","2011-12-26T00:00:00Z",9.99,"2009-12-30T00:00:00Z","2011-12-11T00:00:00Z",17.99,"2010-09-24T00:00:00Z","2011-12-26T00:00:00Z",NA,NA,NA,14.1,26.19,6.1,0.21
7264,"3180",1,"Tank Truck",2010,"City","Modern day","Traffic","Normal",TRUE,222,1,"https://brickset.com/sets/3180-1",3.9,23,"Box","Retail",5,"https://images.brickset.com/sets/small/3180-1.jpg","https://images.brickset.com/sets/images/3180-1.jpg",19.99,"2010-05-30T00:00:00Z","2011-12-18T00:00:00Z",14.99,"2009-12-30T00:00:00Z","2011-12-05T00:00:00Z",26.99,"2010-09-24T00:00:00Z","2011-12-19T00:00:00Z",NA,NA,NA,19.1,35.41,9.09,0.49
7298,"3181",1,"Passenger Plane",2010,"City","Modern day","Airport","Normal",TRUE,309,3,"https://brickset.com/sets/3181-1",3.9,20,"Box","Retail",5,"https://images.brickset.com/sets/small/3181-1.jpg","https://images.brickset.com/sets/images/3181-1.jpg",39.99,"2010-05-30T00:00:00Z","2012-10-10T00:00:00Z",35.99,"2010-06-01T00:00:00Z","2012-11-26T00:00:00Z",54.99,"2010-09-24T00:00:00Z","2012-10-10T00:00:00Z",NA,NA,NA,28.19,48.01,7.39,0.76
31007,"3181",2,"Passenger Plane - ANA version",2010,"City","Modern day","Airport","Normal",TRUE,309,3,"https://brickset.com/sets/3181-2",0,0,"Box","Promotional (Airline)",NA,"https://images.brickset.com/sets/small/3181-1.jpg","https://images.brickset.com/sets/images/3181-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2,48,7.4,NA
7265,"3182",1,"Airport",2010,"City","Modern day","Airport","Normal",TRUE,703,5,"https://brickset.com/sets/3182-1",4.1,16,"Box","Retail",6,"https://images.brickset.com/sets/small/3182-1.jpg","https://images.brickset.com/sets/images/3182-1.jpg",99.99,"2010-05-30T00:00:00Z","2012-12-07T00:00:00Z",81.99,"2010-06-01T00:00:00Z","2012-11-26T00:00:00Z",129.99,"2010-09-24T00:00:00Z","2012-12-07T00:00:00Z",NA,NA,NA,37.8,58.19,10.31,1.96
